City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tuktoyaktuk,69.4541,-133.0374,-18.0,85,90,4.63,CA,1637688950
Bukachacha,52.9833,116.9167,-20.5,85,4,1.65,RU,1637688950
Leningradskiy,69.3833,178.4167,-25.28,82,68,2.13,RU,1637688951
Fortuna,40.5982,-124.1573,11.29,93,1,2.24,US,1637688951
Saint George,37.1041,-113.5841,17.42,39,1,0.0,US,1637688952
Lichinga,-13.3128,35.2406,22.93,44,24,1.0,MZ,1637688952
Brigantine,39.4101,-74.3646,6.86,47,1,6.69,US,1637688952
Butaritari,3.0707,172.7902,27.61,76,52,7.72,KI,1637688953
Solnechnyy,50.7214,136.6319,-11.37,96,100,3.05,RU,1637688953
Sola,-13.8833,167.55,26.74,77,100,4.0,VU,1637688954
Kyshtovka,56.555,76.6271,-5.98,91,99,6.04,RU,1637688954
Deputatsky,69.3,139.9,-32.15,98,55,1.22,RU,1637688954
Bredasdorp,-34.5322,20.0403,18.49,69,58,2.62,ZA,1637688955
Papetoai,-17.4961,-149.8729,28.77,76,91,0.75,PF,1637688955
Hambantota,6.1241,81.1185,25.71,85,100,1.87,LK,1637688956
Takoradze,4.8845,-1.7554,27.13,78,16,3.6,GH,1637688956
Livingston,55.9029,-3.5226,8.6,88,40,5.66,GB,1637688958
Ahipara,-35.1667,173.1667,15.4,85,89,2.06,NZ,1637688958
Manbij,36.5281,37.9549,11.43,54,54,2.94,SY,1637688958
Alofi,-19.0595,-169.9187,18.94,100,72,0.0,NU,1637688959
Hilo,19.7297,-155.09,23.68,78,40,3.6,US,1637688959
Mandalgovi,45.7625,106.2708,-5.25,37,9,4.76,MN,1637688959
Lata,40.1629,-8.3327,12.67,81,98,1.92,PT,1637688960
Acapulco de Juárez,16.8634,-99.8901,27.9,78,40,2.06,MX,1637688251
Mt. Pleasant,32.7941,-79.8626,11.16,33,1,1.79,US,1637688960
Tomatlán,19.9333,-105.25,31.23,45,47,1.28,MX,1637688961
Umm Kaddadah,13.6017,26.6876,24.01,16,75,6.16,SD,1637688961
Sitka,57.0531,-135.33,1.94,93,90,2.06,US,1637688962
Bereda,43.2686,-7.5406,9.45,98,100,3.75,ES,1637688962
Nicoya,10.1483,-85.452,28.75,60,100,5.87,CR,1637688962
Chui,-33.6971,-53.4616,19.53,46,0,5.63,UY,1637688963
Egvekinot,66.3167,-179.1667,-19.51,65,6,3.59,RU,1637688963
New Norfolk,-42.7826,147.0587,15.72,72,100,1.11,AU,1637688964
Vestmannaeyjar,63.4427,-20.2734,2.55,80,20,4.63,IS,1637688964
Point Pedro,9.8167,80.2333,26.89,85,100,6.0,LK,1637688964
Nanortalik,60.1432,-45.2371,-1.48,50,82,2.44,GL,1637688965
Ponta do Sol,32.6667,-17.1,21.74,73,97,1.31,PT,1637688965
La Cumbre,-30.982,-64.4914,24.88,44,76,3.58,AR,1637688966
Saginaw,43.3334,-84.0333,2.08,44,1,4.12,US,1637688966
Huaidian,33.4333,115.0333,5.22,49,0,3.78,CN,1637688966
Homer,59.6425,-151.5483,-8.07,57,90,2.57,US,1637688967
Bougouni,11.417,-7.479,30.12,17,0,1.84,ML,1637688967
Maïné Soroa,13.2114,12.0241,28.96,17,96,4.25,NE,1637688967
Jamestown,42.097,-79.2353,0.95,95,90,2.24,US,1637688759
Bucerías,20.75,-105.3333,26.99,61,1,0.0,MX,1637688937
Kiryat Gat,31.61,34.7642,18.78,100,1,1.68,IL,1637688842
Muroto-misakicho,33.2833,134.15,11.68,66,44,8.62,JP,1637688969
Saint-Philippe,-21.3585,55.7679,24.77,76,61,3.49,RE,1637688969
Labuhan,-6.8844,112.2051,24.77,93,100,6.22,ID,1637688969
Touros,-5.1989,-35.4608,30.5,64,61,6.87,BR,1637688970
Valdemārpils,57.3707,22.5919,4.68,88,87,2.49,LV,1637688970
Basco,20.4487,121.9702,25.11,77,100,12.82,PH,1637688970
Watertown,42.3709,-71.1828,5.01,45,1,1.79,US,1637688671
George Town,5.4112,100.3354,25.96,93,40,0.45,MY,1637688971
Vanimo,-2.6741,141.3028,25.65,88,99,1.92,PG,1637688972
Itigi,-5.7,34.4833,25.33,37,67,1.8,TZ,1637688972
Kuala Kedah,6.1,100.3,25.99,100,40,1.03,MY,1637688972
Katsuura,35.1333,140.3,12.33,62,2,13.82,JP,1637688973
Bethel,41.3712,-73.414,5.5,51,20,0.89,US,1637688973
Balabac,7.9868,117.0645,28.14,80,76,5.4,PH,1637688974
Lompoc,34.6391,-120.4579,25.07,46,1,5.36,US,1637688899
Ayan,56.45,138.1667,-4.17,81,100,16.89,RU,1637688974
Dingle,10.9995,122.6711,24.29,92,100,3.63,PH,1637688975
Zaozyornoye,45.1582,33.2787,7.19,75,99,5.6,UA,1637688975
Kayerkan,69.3497,87.7602,-9.91,82,100,6.16,RU,1637688975
Coruripe,-10.1256,-36.1756,29.51,62,73,6.99,BR,1637688615
Provideniya,64.3833,-173.3,-12.44,66,3,3.91,RU,1637688976
Buala,-8.145,159.5921,26.58,83,51,3.59,SB,1637688977
Kapaa,22.0752,-159.319,25.18,82,90,0.45,US,1637688945
Hofn,64.2539,-15.2082,1.74,92,83,3.09,IS,1637688978
Vila Velha,-20.3297,-40.2925,28.97,72,20,1.79,BR,1637688979
Port Augusta,-32.5,137.7667,19.28,77,100,5.11,AU,1637688979
Soe,-9.8607,124.284,20.11,90,69,0.91,ID,1637688980
Verkhoyansk,67.5447,133.385,-34.72,98,98,0.69,RU,1637688980
Baker City,44.7749,-117.8344,1.47,100,90,1.54,US,1637688981
Cabedelo,-6.9811,-34.8339,32.37,67,99,4.9,BR,1637688981
Cuamba,-14.8031,36.5372,29.61,33,48,0.88,MZ,1637688981
Virtsu,58.5716,23.5115,2.27,76,85,4.77,EE,1637688982
Ţaga,46.95,24.05,2.39,71,17,3.81,RO,1637688982
Banes,20.9625,-75.7186,30.34,57,3,4.57,CU,1637688983
Dunedin,-45.8742,170.5036,9.36,85,24,2.45,NZ,1637688747
Harper,4.375,-7.7169,27.18,80,40,3.31,LR,1637688983
Mount Isa,-20.7333,139.5,26.87,29,90,2.06,AU,1637688984
Udachny,66.4167,112.4,-32.93,100,43,3.27,RU,1637688984
Mercedes,-34.6515,-59.4307,28.81,8,0,4.48,AR,1637688984
Aklavik,68.2191,-135.0107,-22.54,77,40,2.57,CA,1637688985
Iquitos,-3.7481,-73.2472,31.02,70,75,3.09,PE,1637688888
Ciudad de Armería,18.9333,-103.9667,30.61,57,8,2.58,MX,1637688985
New Glasgow,45.5834,-62.6486,6.73,96,100,7.16,CA,1637688986
Almaznyy,48.0448,40.045,1.08,96,100,1.32,RU,1637688986
Avarua,-21.2078,-159.775,23.03,73,100,2.57,CK,1637688987
Cap Malheureux,-19.9842,57.6142,25.27,83,42,0.45,MU,1637688987
Cravo Norte,6.3017,-70.2041,31.16,57,92,2.08,CO,1637688987
Viedma,-40.8135,-62.9967,29.68,18,58,10.27,AR,1637688988
Lityn,49.3251,28.0809,0.18,89,99,5.95,UA,1637688988
Pochutla,15.7432,-96.4661,32.12,47,0,3.71,MX,1637688988
Cortez,37.3489,-108.5859,10.23,20,100,2.35,US,1637688989
Ruhengeri,-1.4998,29.635,14.43,92,76,0.31,RW,1637688989
Ust'-Omchug,61.15,149.6333,-32.52,99,43,0.9,RU,1637688990
Nguruka,-5.1092,31.0419,20.26,84,77,1.9,TZ,1637688990
Yerbogachën,61.2767,108.0108,-13.62,96,100,2.76,RU,1637688991
La Santisima Trinidad,-14.8333,-64.9,31.99,66,40,5.14,BO,1637688991
Mkokotoni,-5.8767,39.2547,26.87,81,82,4.81,TZ,1637688991
Gravdal,68.1214,13.5031,1.82,70,100,7.25,NO,1637688992
São Gabriel da Cachoeira,-0.1303,-67.0892,30.89,74,40,2.06,BR,1637688992
North Bend,43.4065,-124.2243,10.95,91,90,5.14,US,1637688993
Kudahuvadhoo,2.6708,72.8944,27.58,75,96,7.5,MV,1637688993
Ambon City,-3.6954,128.1814,27.83,69,40,0.47,ID,1637688993
Norman Wells,65.282,-126.8329,-28.98,69,75,1.54,CA,1637688994
Pontal do Paraná,-25.6533,-48.5128,39.29,58,1,2.23,BR,1637688994
Alice Springs,-23.7,133.8833,18.75,100,40,4.63,AU,1637688945
Zacualpan,21.25,-105.1667,30.79,56,19,2.62,MX,1637688995
Pangnirtung,66.1451,-65.7125,-1.0,64,75,12.86,CA,1637688995
Batagay,67.6333,134.6333,-33.22,98,93,0.69,RU,1637688995
Mayo,38.8876,-76.5119,7.51,45,20,5.81,US,1637688996
Cidreira,-30.1811,-50.2056,22.1,57,28,7.29,BR,1637688996
Puebloviejo,10.9938,-74.2844,31.1,74,75,2.06,CO,1637688997
Te Anau,-45.4167,167.7167,6.82,96,43,0.54,NZ,1637688997
Örnsköldsvik,63.2909,18.7153,1.53,100,0,3.09,SE,1637688997
Caldwell,43.6629,-116.6874,5.18,94,90,4.12,US,1637688998
Harihar,14.5167,75.8,23.1,82,18,2.27,IN,1637688999
Halifax,44.6453,-63.5724,5.03,95,90,3.58,CA,1637688711
Faya,18.3851,42.4509,16.06,42,23,2.15,SA,1637689000
Ketchikan,55.3422,-131.6461,2.26,100,90,2.06,US,1637688947
Hong Kong,22.2855,114.1577,17.96,61,42,0.45,HK,1637688854
Los Llanos de Aridane,28.6585,-17.9182,19.86,88,20,0.45,ES,1637689000
Longyearbyen,78.2186,15.6401,-15.09,78,20,5.14,SJ,1637689001
Lagoa,39.05,-27.9833,18.79,87,48,7.97,PT,1637689001
Rūdbār,30.15,62.6,17.64,20,1,1.6,AF,1637689002
Kurunegala,7.4863,80.3623,24.05,90,100,1.68,LK,1637689002
Lufilufi,-13.8745,-171.5986,21.88,73,30,3.49,WS,1637689003
Bengkulu,-3.8004,102.2655,23.87,89,100,2.3,ID,1637689003
Zhangye,38.9342,100.4517,-2.0,27,1,1.81,CN,1637689003
Tuatapere,-46.1333,167.6833,8.44,92,90,1.42,NZ,1637689004
Camacha,33.0833,-16.3333,19.42,77,20,4.63,PT,1637689004
Yar-Sale,66.8333,70.8333,-11.38,96,100,3.26,RU,1637689005
Buraidah,26.326,43.975,19.25,43,1,5.2,SA,1637689005
Doha,25.2867,51.5333,26.17,71,0,6.17,QA,1637689005
Moshenskoye,58.5102,34.5911,-6.13,78,95,3.25,RU,1637689006
Dawei,14.0833,98.2,24.48,88,97,3.84,MM,1637689006
Asău,46.4333,26.4,1.53,94,99,0.76,RO,1637689007
Upernavik,72.7868,-56.1549,-17.45,69,15,3.17,GL,1637689007
Izumo,35.3667,132.7667,8.97,59,100,10.73,JP,1637689008
Paciran,-6.8767,112.3761,24.64,93,100,6.81,ID,1637689008
Svetlaya,46.5389,138.3297,-7.04,64,90,5.26,RU,1637689008
Valdosta,30.8327,-83.2785,13.84,27,1,5.66,US,1637689009
Tagusao,9.1924,117.8141,26.4,83,88,1.75,PH,1637689009
Zhigansk,66.7697,123.3711,-38.31,100,92,1.72,RU,1637689010
Bintulu,3.1667,113.0333,24.23,100,40,0.0,MY,1637689010
Temyasovo,52.9933,58.1014,-7.8,96,100,4.38,RU,1637689011
Yulara,-25.2406,130.9889,19.91,68,75,4.63,AU,1637689011
Tsumeb,-19.2333,17.7167,29.75,12,13,3.96,NA,1637689012
Bandarbeyla,9.4942,50.8122,26.84,71,100,7.21,SO,1637689012
Ayagoz,47.9714,80.4392,-0.13,86,100,8.27,KZ,1637689012
Ajdabiya,30.7554,20.2263,21.86,33,37,3.04,LY,1637689013
Haines Junction,60.7522,-137.5108,-22.03,84,100,0.51,CA,1637689013
Ibotirama,-12.1853,-43.2206,26.0,70,100,1.65,BR,1637689014
Kindu,-2.95,25.95,22.41,97,80,1.17,CD,1637689014
Eucaliptus,-17.5833,-67.5167,19.83,32,97,6.53,BO,1637689014
Russell,32.3502,-85.1999,12.22,21,1,1.54,US,1637689015
Rio Grande,-32.035,-52.0986,25.06,53,1,6.61,BR,1637689015
Evensk,61.95,159.2333,-11.98,72,100,5.16,RU,1637689016
Emerald,-23.5333,148.1667,22.77,72,97,3.6,AU,1637689016
Tupik,54.4253,119.9327,-19.68,88,91,1.64,RU,1637689016
Palmer,42.1584,-72.3287,4.78,35,20,1.34,US,1637689017
Chanderi,24.7167,78.1333,17.99,27,2,1.46,IN,1637689017
Begunitsy,59.5855,29.3176,-2.84,90,34,2.24,RU,1637689018
Vila Franca do Campo,37.7167,-25.4333,19.0,88,100,6.62,PT,1637689018
Baturaja,-4.1333,104.1667,22.89,94,100,0.87,ID,1637689018
Hamilton,39.1834,-84.5333,5.36,48,1,0.45,US,1637688352
Bay Roberts,47.5999,-53.2648,5.74,79,100,5.81,CA,1637689020
Paamiut,61.994,-49.6678,0.67,53,100,12.64,GL,1637689020
La Ronge,55.1001,-105.2842,-6.86,93,90,5.14,CA,1637689022
Constitución,-35.3333,-72.4167,18.65,69,13,5.08,CL,1637689022
Kambove,-10.8764,26.5969,18.53,92,69,0.87,CD,1637689022
Bambanglipuro,-7.95,110.2833,24.6,93,99,3.63,ID,1637689024
Bathsheba,13.2167,-59.5167,31.34,62,40,7.72,BB,1637689025
Barranca,-10.75,-77.7667,20.9,71,100,4.6,PE,1637688783
Dwārka,22.2394,68.9678,25.85,53,42,3.7,IN,1637689025
Noshiro,40.2039,140.0242,4.24,79,100,4.22,JP,1637689026
Idrinskoye,54.3708,92.1358,-9.02,97,89,1.81,RU,1637689027
Pauini,-7.7136,-66.9764,27.62,86,99,0.88,BR,1637689027
Rosetta,31.4044,30.4164,18.9,65,100,2.68,EG,1637689028
Qaqortoq,60.7167,-46.0333,-5.72,64,91,3.3,GL,1637689028
Socorro,31.6546,-106.3033,16.36,35,90,5.14,US,1637689028
Geraldton,-28.7667,114.6,15.23,82,0,5.66,AU,1637689029
Goundam,16.4145,-3.6708,32.0,19,8,4.52,ML,1637689029
Dutse,11.7594,9.3392,26.7,24,71,0.87,NG,1637689030
Province of Mantua,45.1667,10.7833,11.53,82,26,0.45,IT,1637689030
Øystese,60.3882,6.1925,8.92,99,100,3.05,NO,1637689031
Menongue,-14.6585,17.691,23.05,43,69,2.07,AO,1637689031
Thaba Nchu,-29.2093,26.839,18.88,53,28,4.38,ZA,1637689032
Hobyo,5.3505,48.5268,27.17,71,48,4.54,SO,1637689032
San Cristobal,7.7669,-72.225,25.1,54,77,2.34,VE,1637689033
Moose Factory,51.2585,-80.6094,-7.0,79,90,5.66,CA,1637689033
Kalmunai,7.4167,81.8167,25.12,91,100,3.02,LK,1637689034
Kirkwall,58.9848,-2.9587,10.03,87,75,7.72,GB,1637689034
Kidal,18.4411,1.4078,29.9,21,31,3.1,ML,1637689034
Santa Rosa,14.3122,121.1114,27.99,85,49,4.03,PH,1637689035
Klaksvík,62.2266,-6.589,8.51,86,99,12.06,FO,1637689035
Grand Gaube,-20.0064,57.6608,25.22,83,39,0.45,MU,1637689035
Mossamedes,-15.1961,12.1522,21.87,71,31,3.07,AO,1637689036
Taungdwingyi,20.0167,95.55,22.64,80,2,0.97,MM,1637689036
Semīrom,31.4167,51.5667,5.04,69,0,2.45,IR,1637689037
Yelizavetino,59.4916,29.7938,-2.69,90,18,2.11,RU,1637689037
Creel,27.75,-107.6333,15.69,27,100,5.57,MX,1637689037
Aasiaat,68.7098,-52.8699,-14.77,71,76,10.73,GL,1637689038
Erbil,36.1926,44.0106,14.9,38,0,1.03,IQ,1637689038
Charters Towers,-20.1,146.2667,23.58,87,99,4.48,AU,1637689039
Makakilo City,21.3469,-158.0858,23.49,79,75,2.06,US,1637689039
Lukovetskiy,64.2956,41.9211,-4.01,95,77,3.27,RU,1637689040
Palm Beach,26.6503,-80.4498,22.23,39,0,6.46,US,1637689040
St. George's,12.0564,-61.7485,28.82,79,40,7.72,GD,1637689041
São Filipe,14.8961,-24.4956,27.14,67,64,2.09,CV,1637689041
Saldanha,-33.0117,17.9442,20.03,75,70,13.21,ZA,1637689042
Luanda,-8.8368,13.2343,26.1,81,58,5.55,AO,1637688840
Sinegor'ye,62.0788,150.477,-28.04,93,21,0.74,RU,1637689043
São Sebastião,-23.76,-45.4097,28.59,49,11,0.82,BR,1637689043
Talnakh,69.4865,88.3972,-11.6,92,98,5.57,RU,1637689043
My Tho,10.35,106.35,26.02,96,96,1.07,VN,1637689044
Bairiki Village,1.3292,172.9752,27.0,83,20,3.6,KI,1637689044
Coyhaique,-45.5752,-72.0662,19.97,40,40,3.6,CL,1637689045
Gillette,44.2911,-105.5022,10.57,19,1,9.83,US,1637689045
Sabang,5.8933,95.3214,27.73,77,100,3.52,ID,1637689045
College,64.8569,-147.8028,-17.03,57,75,3.09,US,1637689047
Östersund,63.1792,14.6357,3.25,93,20,8.23,SE,1637689047
Verkhnyaya Inta,65.9811,60.3094,-11.91,95,100,6.62,RU,1637689048
Savannah Bight,16.45,-85.85,29.03,74,66,8.15,HN,1637689048
Zunyi,27.6867,106.9072,7.31,85,100,1.21,CN,1637689049
Peniche,39.3558,-9.3811,13.97,69,12,4.15,PT,1637689049
Cascais,38.6979,-9.4215,14.15,56,20,3.58,PT,1637689049
Tshikapa,-6.4167,20.8,22.7,94,88,1.5,CD,1637689050
Mont-Dore,-22.2833,166.5833,20.99,91,83,2.42,NC,1637689050
Raton,36.9034,-104.4391,20.19,14,1,0.0,US,1637689051
Kangaatsiaq,68.3065,-53.4641,-10.14,68,71,10.95,GL,1637689051
Aswān,24.0934,32.907,22.61,35,0,3.09,EG,1637689052
Half Moon Bay,37.4636,-122.4286,16.09,76,1,1.34,US,1637689052
Lanigan,51.8501,-105.0344,0.94,87,29,3.6,CA,1637689053
Houma,29.5958,-90.7195,16.68,53,1,4.63,US,1637689053
Tottori-shi,35.5,134.2333,8.06,70,74,9.63,JP,1637689054
Dzhebariki-Khaya,62.2167,135.8,-25.77,97,100,1.01,RU,1637689054
Basti,26.8,82.7167,17.11,33,0,2.02,IN,1637689054
Rome,43.2128,-75.4557,0.8,70,75,0.45,US,1637688843
Manzhouli,49.6,117.4333,-18.89,81,0,2.88,CN,1637689055
Wenatchee,47.4235,-120.3103,4.76,86,90,2.57,US,1637689056
Walvis Bay,-22.9575,14.5053,17.53,72,0,4.12,NA,1637689056
Ixtapa,20.7,-105.2,26.57,61,1,0.0,MX,1637689056
Marau,-28.4492,-52.2,30.14,35,100,2.34,BR,1637689057
Richards Bay,-28.783,32.0377,20.23,78,54,7.98,ZA,1637689057
Guinticgan,11.5641,123.1236,27.47,78,91,7.0,PH,1637689058
Inhambane,-23.865,35.3833,24.6,91,83,3.94,MZ,1637689058
Bom Jesus,-9.0744,-44.3586,32.86,42,98,1.39,BR,1637689059
Ola,59.5833,151.2833,-10.71,76,8,7.12,RU,1637689059
Necochea,-38.5473,-58.7368,26.13,26,16,3.29,AR,1637689060
Tevriz,57.509,72.4042,-5.4,90,100,5.06,RU,1637689060
Umm Hājar,13.2954,19.6966,29.09,14,13,4.2,TD,1637689060
Atherton,53.5237,-2.4935,9.05,88,39,0.45,GB,1637689061
Westport,41.1415,-73.3579,6.36,49,20,2.68,US,1637688818
Coquimbo,-29.9533,-71.3436,16.85,72,90,5.66,CL,1637689062
Santa Marta,11.2408,-74.199,31.03,74,75,2.06,CO,1637688936
Shizunai-furukawachō,42.3339,142.3669,3.87,68,100,8.87,JP,1637689062
Souillac,-20.5167,57.5167,25.21,73,40,2.06,MU,1637689063
Makkah al Mukarramah,21.4267,39.8261,24.38,47,5,1.92,SA,1637688910
Karaton,-6.3424,106.1045,27.2,95,100,3.97,ID,1637689063
Samarai,-10.6167,150.6667,28.26,78,24,4.83,PG,1637689064
Tucuruí,-3.7661,-49.6725,35.14,39,73,0.83,BR,1637689064
Kahului,20.8947,-156.47,25.47,80,20,2.57,US,1637689065
Coahuayana Viejo,18.7333,-103.6833,30.71,53,8,2.52,MX,1637689065
Soyo,-6.1349,12.3689,29.03,84,70,3.64,AO,1637689065
Fort Nelson,58.8053,-122.7002,-19.23,84,75,1.03,CA,1637688909
Kokoda,-8.8785,147.7407,22.81,93,50,0.75,PG,1637689066
São Benedito do Rio Preto,-3.3336,-43.5283,32.73,48,85,2.68,BR,1637689067
Sühbaatar,50.2314,106.2078,-15.65,96,85,1.13,MN,1637689067
Tual,-5.6667,132.75,28.37,76,86,2.72,ID,1637689068
Wau,7.7029,27.9953,27.68,25,4,2.15,SS,1637689068
Namatanai,-3.6667,152.4333,26.18,83,63,3.58,PG,1637689069
Calabozo,8.9242,-67.4293,32.89,44,100,3.12,VE,1637689070
Port Blair,11.6667,92.75,27.44,82,100,4.3,IN,1637689070
Balikpapan,-1.2675,116.8289,24.42,91,91,1.33,ID,1637689071
Boshan,36.4833,117.8333,0.39,49,0,3.06,CN,1637689071
Adwa,14.1646,38.8955,18.19,52,72,2.23,ET,1637689072
Ucluelet,48.9329,-125.5528,6.09,92,10,1.34,CA,1637688791
Lopatino,52.6195,45.8118,-15.71,99,91,1.83,RU,1637689073
Oksbøl,55.6268,8.2876,7.73,91,58,8.78,DK,1637689073
Taoudenni,22.6783,-3.9836,30.0,25,74,2.35,ML,1637689074
Pisco,-13.7,-76.2167,21.03,73,0,4.12,PE,1637688836
Poli,-3.3333,36.8,19.94,51,87,2.38,TZ,1637689075
